m11	m12	m13	m14	m15	m16	m21	m22	m23	m24	m25	m26	m31	m32	m33	m41	m42	m43	m51	m61	m62
0	-100	0	-140	50	0	0	-100	0	140	-50	0	0	30	90	0	-30	-90	20	0	0
0	-100	0	-140	45	0	0	-100	0	140	-45	0	0	30	90	0	-30	-90	20	0	0
0	-100	0	-140	45	0	0	-100	0	140	-45	0	0	30	90	0	-30	-90	20	0	0
0	-100	0	-140	45	0	0	-100	0	140	-45	0	0	30	90	0	-30	-90	20	0	0
0	-100	0	-140	45	0	0	-100	0	140	-45	0	0	30	90	0	-30	-90	20	0	0
0	-100	0	-140	45	0	0	-100	0	140	-45	0	0	30	90	0	-30	-90	20	0	0
0	-100	0	-140	45	0	0	-100	0	140	-45	0	0	30	90	0	-30	-90	20	0	0
0	-100	0	-140	45	0	0	-100	0	140	-45	0	0	30	90	0	-30	-90	20	0	0
0	-100	0	-140	45	0	0	-100	0	140	-45	0	0	30	90	0	-30	-90	20	0	0
0	-100	0	-126	40.5	0	0	-100	0	126	-40.5	0	0	30	90	0	-30	-90	20	0	0
0	-90	0	-112	36	0	0	-90	0	112	-36	0	0	30	90	0	-30	-90	20	0	0
0	-80	0	-98	31.5	0	0	-80	0	98	-31.5	0	0	30	90	0	-30	-90	20	0	0
0	-70	0	-84	27	0	0	-70	0	84	-27	0	0	30	90	0	-30	-90	20	0	0
0	-60	0	-70	22.5	0	0	-60	0	70	-22.5	0	0	30	90	0	-30	-90	20	0	0
0	-50	0	-56	18	0	0	-50	0	56	-18	0	0	30	90	0	-30	-90	20	0	0
0	-40	0	-42	13.5	0	0	-40	0	42	-13.5	0	0	30	90	0	-30	-90	20	0	0
0	-30	0	-28	9	0	0	-30	0	28	-9	0	0	30	90	0	-30	-90	20	0	0
0	-20	0	-14	4.5	0	0	-20	0	14	-4.5	0	0	30	90	0	-30	-90	20	0	0
0	-20	0	-7	0	0	0	-20	0	7	0	0	0	30	90	0	-30	-90	20	0	0
0	-20	0	-7	0	0	0	-20	0	7	0	0	0	30	90	0	-30	-90	10	0	0
0	-20	0	-7	0	0	0	-20	0	7	0	0	0	30	90	0	-30	-90	10	0	0
0	-20	0	-7	0	0	0	-20	0	7	0	0	0	30	90	0	-30	-90	10	0	0
0	-20	0	-7	0	0	0	-20	0	7	0	0	0	30	90	0	-30	-90	10	0	0
0	-15	0	-7	0	0	0	-15	0	7	0	0	0	30	90	0	-30	-90	10	0	0
0	-10	0	-7	5	0	0	-10	0	7	-5	0	0	30	0	0	-30	0	0	0	0
