m11,m12,m13,m14,m15,m16,m21,m22,m23,m24,m25,m26,m31,m32,m33,m41,m42,m43,m51,m61,m62
0,-105,0,-100,54.913,0,0,-105,0,100,-54.913,0,-85,30,90,85,-30,-90,20,0,0
0,-105,0,-142,68.592,0,0,-105,0,142,-68.592,0,-85,30,90,85,-30,-90,40,0,0
0,-105,0,-142,68.592,0,0,-105,0,142,-68.592,0,-85,30,90,85,-30,-90,40,0,0
0,-105,0,-142,68.592,0,0,-105,0,142,-68.592,0,-85,30,90,85,-30,-90,40,0,0
0,-105,0,-142,55.16,0,0,-105,0,142,-55.16,0,-85,30,90,85,-30,-90,60,0,0
0,-105,0,-142,55.16,0,0,-105,0,142,-55.16,0,-85,30,90,85,-30,-90,60,0,0
0,-105,0,-142,55.16,0,0,-105,0,142,-55.16,0,-85,30,90,85,-30,-90,60,0,0
0,-105,0,-142,55.16,0,0,-105,0,142,-55.16,0,-85,30,90,85,-30,-90,60,0,0
0,-105,0,-142,55.16,0,0,-105,0,142,-55.16,0,-85,30,90,85,-30,-90,60,0,0
0,-105,0,-142,55.16,0,0,-105,0,142,-55.16,0,-85,30,90,85,-30,-90,60,0,0
0,-95,0,-142,64.574,0,0,-95,0,142,-64.574,0,-80,30,90,80,-30,-90,60,0,0
0,-95,0,-142,64.574,0,0,-95,0,142,-64.574,0,-80,30,90,80,-30,-90,60,0,0
0,-85,0,-142,73.731,0,0,-85,0,142,-73.731,0,-80,30,90,80,-30,-90,60,0,0
0,-85,0,-142,73.731,0,0,-85,0,142,-73.731,0,-80,30,90,80,-30,-90,60,0,0
0,-75,0,-142,82.355,0,0,-75,0,142,-82.355,0,-80,30,90,80,-30,-90,60,0,0
0,-75,0,-142,82.355,0,0,-75,0,142,-82.355,0,-80,30,90,80,-30,-90,60,0,0
0,-75,0,-142,82.355,0,0,-75,0,142,-82.355,0,-80,30,90,80,-30,-90,60,0,0
0,-50,0,-140,85,0,0,-50,0,140,-85,0,0,30,90,0,-30,-90,40,0,0
0,-50,0,-140,85,0,0,-50,0,140,-85,0,0,30,90,0,-30,-90,40,0,0
0,-50,0,-140,85,0,0,-50,0,140,-85,0,0,30,90,0,-30,-90,20,0,0
0,-50,0,-140,85,0,0,-50,0,140,-85,0,0,30,90,0,-30,-90,20,0,0
0,-50,0,-140,85,0,0,-50,0,140,-85,0,0,30,90,0,-30,-90,20,0,0
0,-50,0,-140,85,0,0,-50,0,140,-85,0,0,30,90,0,-30,-90,20,0,0
0,-55,0,-140,85,0,0,-55,0,140,-85,0,0,30,90,0,-30,-90,20,0,0
0,-60,0,-140,85,0,0,-60,0,140,-85,0,0,30,90,0,-30,-90,20,0,0
0,-65,0,-140,85,0,0,-65,0,140,-85,0,0,30,90,0,-30,-90,20,0,0
0,-70,0,-140,85,0,0,-70,0,140,-85,0,0,30,90,0,-30,-90,20,0,0
0,-75,0,-140,85,0,0,-75,0,140,-85,0,0,30,90,0,-30,-90,20,0,0
0,-80,0,-140,85,0,0,-80,0,140,-85,0,0,30,90,0,-30,-90,20,0,0
0,-85,0,-140,75,0,0,-85,0,140,-75,0,0,30,90,0,-30,-90,20,0,0
0,-90,0,-140,65,0,0,-90,0,140,-65,0,0,30,90,0,-30,-90,20,0,0
0,-95,0,-140,55,0,0,-95,0,140,-55,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-140,55,0,0,-100,0,140,-55,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-140,50,0,0,-100,0,140,-50,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-140,45,0,0,-100,0,140,-45,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-140,45,0,0,-100,0,140,-45,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-140,45,0,0,-100,0,140,-45,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-140,45,0,0,-100,0,140,-45,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-140,45,0,0,-100,0,140,-45,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-140,45,0,0,-100,0,140,-45,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-140,45,0,0,-100,0,140,-45,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-140,45,0,0,-100,0,140,-45,0,0,30,90,0,-30,-90,20,0,0
0,-100,0,-126,40.5,0,0,-100,0,126,-40.5,0,0,30,90,0,-30,-90,20,0,0
0,-97.692,0,-122.95,39.59,0,0,-97.692,0,122.95,-39.59,0,0,30,87.692,-0,-30,-87.692,19.487,0,0
0,-95.385,0,-119.9,38.679,0,0,-95.385,0,119.9,-38.679,0,0,30,85.385,-0,-30,-85.385,18.974,0,0
0,-93.077,0,-116.85,37.769,0,0,-93.077,0,116.85,-37.769,0,0,30,83.077,-0,-30,-83.077,18.462,0,0
0,-90.769,0,-113.79,36.859,0,0,-90.769,0,113.79,-36.859,0,0,30,80.769,-0,-30,-80.769,17.949,0,0
0,-88.462,0,-110.74,35.949,0,0,-88.462,0,110.74,-35.949,0,0,30,78.462,-0,-30,-78.462,17.436,0,0
0,-86.154,0,-107.69,35.038,0,0,-86.154,0,107.69,-35.038,0,0,30,76.154,-0,-30,-76.154,16.923,0,0
0,-83.846,0,-104.64,34.128,0,0,-83.846,0,104.64,-34.128,0,0,30,73.846,-0,-30,-73.846,16.41,0,0
0,-81.538,0,-101.59,33.218,0,0,-81.538,0,101.59,-33.218,0,0,30,71.538,-0,-30,-71.538,15.897,0,0
0,-79.231,0,-98.538,32.308,0,0,-79.231,0,98.538,-32.308,0,0,30,69.231,-0,-30,-69.231,15.385,0,0
0,-76.923,0,-95.487,31.397,0,0,-76.923,0,95.487,-31.397,0,0,30,66.923,-0,-30,-66.923,14.872,0,0
0,-74.615,0,-92.436,30.487,0,0,-74.615,0,92.436,-30.487,0,0,30,64.615,-0,-30,-64.615,14.359,0,0
0,-72.308,0,-89.385,29.577,0,0,-72.308,0,89.385,-29.577,0,0,30,62.308,-0,-30,-62.308,13.846,0,0
0,-70,0,-86.333,28.667,0,0,-70,0,86.333,-28.667,0,0,30,60,-0,-30,-60,13.333,0,0
0,-67.692,0,-83.282,27.756,0,0,-67.692,0,83.282,-27.756,0,0,30,57.692,-0,-30,-57.692,12.821,0,0
0,-65.385,0,-80.231,26.846,0,0,-65.385,0,80.231,-26.846,0,0,30,55.385,-0,-30,-55.385,12.308,0,0
0,-63.077,0,-77.179,25.936,0,0,-63.077,0,77.179,-25.936,0,0,30,53.077,-0,-30,-53.077,11.795,0,0
0,-60.769,0,-74.128,25.026,0,0,-60.769,0,74.128,-25.026,0,0,30,50.769,-0,-30,-50.769,11.282,0,0
0,-58.462,0,-71.077,24.115,0,0,-58.462,0,71.077,-24.115,0,0,30,48.462,-0,-30,-48.462,10.769,0,0
